friend count,personaname length,lastlogoff,game count,playtime,% achievements gotten
310,5,1546648628,48,0,0.0
120,9,1546695455,439,379303,30.39
99,9,1546698233,87,100068,3.33
89,6,1546655019,1230,1053711,15.35
214,11,1546554438,60,55037,27.32
13,7,1544315036,136,0,5.01
197,7,1541582088,59,233134,10.91
131,4,1546682087,54,181613,13.72
199,6,1546701161,34,454128,24.8
150,13,1546697846,53,284052,15.84
295,8,1546662237,86,359175,13.15
379,5,1546377636,155,0,15.64
18,5,1520284930,25,10712,1.16
31,13,1546578391,373,459275,9.94
141,5,1546560153,121,328816,16.89
268,16,1545133035,73,285402,41.54
62,12,1546511332,208,361305,18.66
88,8,1546598392,235,400251,15.03
67,17,1546266272,15,33316,22.29
-1,5,1546699756,346,0,16.3
274,16,1545595583,55,0,13.38
12,15,1546079351,9,3437569,47.31
156,9,1544063922,496,23576,0.98
247,6,1546663247,874,212598,8.83
117,10,1546051918,106,172489,14.68
103,6,1546690542,100,239400,12.91
94,10,1546685601,1491,621835,13.78
149,8,1546701190,69,279700,9.93
124,3,1546645111,33,0,13.87
713,11,1546586797,427,672442,16.66
207,10,1544149032,113,2499689,19.44
295,8,1546642206,138,545241,6.57
17,7,1546656753,711,122031,5.34
13,7,1543761665,15,0,31.32
80,4,1546572099,32,0,34.0
130,8,1546702577,715,601408,5.32
26,6,1546680950,54,128172,6.4
102,15,1546657928,53,0,9.15
85,4,1546274801,108,375965,7.62
32,8,1546590027,666,227986,7.69
36,3,1546683332,350,0,11.97
122,23,1546684850,440,348842,7.53
279,6,1541537435,177,155826,10.31
23,4,1546681729,92,211438,19.86
375,7,1546564839,102,175121,11.5
77,12,1546564756,16,59786,86.76
41,5,1546656405,289,151063,8.97
-1,4,1546661749,1754,575547,12.46
41,4,1546687293,48,231669,26.96
170,9,1546700457,161,262499,22.31
157,6,1546593143,822,552974,10.05
119,5,1546695778,4769,0,4.13
37,7,1546635258,54,0,9.36
182,5,1546681664,54,498655,37.59
17,11,1546616987,160,44324,4.44
197,17,1546566860,430,0,3.56
293,8,1546693407,61,135364,5.84
278,4,1545053397,778,355894,2.11
118,11,1544933679,9,287306,88.02
53,5,1546697445,242,246765,6.38
1082,17,1546669653,1411,432375,3.0
32,7,1546600804,153,224924,12.18
66,3,1546258522,13,87024,73.05
125,4,1546700997,175,93993,27.69
-1,7,1543001831,488,0,15.91
262,14,1546598090,458,923449,10.55
45,8,1546629809,119,128648,8.11
36,6,1546664377,41,72529,14.68
71,5,1546686142,45,0,18.09
257,11,1546696764,56,327399,10.84
151,18,1546689180,58,91480,6.88
96,29,1546646404,139,81900,12.67
237,20,1546622143,24,53041,5.16
104,10,1542441303,35,12716,9.85
-1,5,1546702164,17,0,0.0
21,11,1545387509,366,45489,4.55
91,13,1546684682,35,98356,17.44
313,8,1546688716,15,43997,3.14
33,7,1546678281,325,0,9.96
61,6,1546700919,440,0,6.33
215,4,1546681010,144,386780,15.39
83,12,1546695757,79,345265,7.27
333,6,1546633282,201,370367,6.67
141,9,1546674524,439,268987,6.51
130,14,1546688395,674,591410,14.74
62,4,1546582092,692,0,2.27
169,7,1546195032,47,289762,19.83
145,14,1546662373,475,611451,24.63
129,4,1546648118,375,304735,3.76
383,24,1546658586,154,606479,9.07
44,6,1540649873,104,75941,8.8
177,19,1546691502,1489,403102,3.42
16,9,1546695153,453,324416,18.86
205,9,1546694782,472,100885,6.08
37,5,1546700318,1158,667550,53.16
48,10,1546654894,1627,504843,6.41
300,17,1546699912,1549,261596,3.58
144,7,1546214208,52,336756,24.79
177,11,1546230377,131,188382,13.31
112,22,1546695257,15,413452,70.06
71,9,1546137559,202,188026,9.72
244,9,1546701062,52,203385,14.18
230,6,1546317974,470,765154,12.48
52,8,1546608455,38,104097,9.28
39,2,1544968708,23,72515,26.24
306,4,1546700464,96,565053,9.91
161,8,1545382013,109,719742,16.17
75,4,1546680085,607,488460,7.48
476,10,1546538354,1128,280465,7.73
140,11,1546678483,46,95301,16.31
290,3,1546703194,571,372767,5.0
75,5,1546574723,55,1148563,11.62
153,6,1546696288,130,0,16.01
113,12,1546674758,100,696452,31.87
212,6,1546358723,128,221007,6.39
45,5,1546632751,338,167728,10.1
198,7,1546444466,166,244933,10.32
160,6,1546494667,41,33612,5.24
96,16,1546390348,128,116453,9.24
77,11,1546628992,204,171021,9.99
148,7,1546382962,77,0,13.18
20,13,1546061685,117,68656,7.49
38,8,1546691830,39,104090,23.07
3,11,1546660097,90,556321,9.96
494,12,1546655424,662,237086,15.29
133,9,1546586196,1486,0,4.46
290,31,1546307083,163,328919,8.11
124,5,1546605184,216,62939,3.39
86,4,1546638851,30,88976,26.06
163,3,1546287177,123,0,5.61
377,6,1546676531,226,200998,10.38
56,10,1546681263,517,188454,6.18
121,11,1546699960,184,302111,12.74
91,4,1546696850,125,285324,12.63
34,4,1546605646,188,288373,28.55
103,19,1546643408,35,0,20.97
73,4,1546690951,19,194652,25.41
83,5,1546557070,1222,382473,8.77
271,7,1546626058,50,149575,7.65
159,15,1546574947,181,353956,8.08
245,4,1546568936,538,539926,13.35
126,9,1546382170,100,65964,13.22
118,21,1546681632,22,87535,7.01
8,5,1546459837,31,151385,2.72
93,12,1531435588,242,71516,8.24
207,7,1546693876,41,107242,7.06
139,6,1546692530,135,158436,3.2
311,14,1538795033,7,59856,0.0
37,7,1546553295,119,515501,9.01
21,15,1532627663,69,176512,10.9
127,5,1546649448,63,441273,35.3
77,6,1546624604,154,110159,12.77
60,21,1546581660,207,75864,16.34
306,15,1546666531,55,95987,51.75
110,7,1546644676,25,58972,4.49
39,31,1546570562,70,116476,8.72
346,12,1546646204,65,576944,22.55
545,15,1546695889,454,144567,26.92
66,8,1546572275,949,0,8.47
219,7,1546574965,129,380130,16.59
90,17,1546701625,129,289757,85.19
23,8,1546676130,293,257183,27.12
110,25,1545945612,82,83919,1.81
214,26,1545380664,161,259586,9.84
54,8,1546670977,95,223246,14.19
44,8,1545838686,22,315942,36.55
160,9,1546695153,48,57928,2.25
271,5,1546677967,332,750857,23.85
24,9,1545913086,29,119045,22.97
126,4,1546698207,2582,0,12.76
59,6,1546672708,629,200195,9.38
170,9,1546636576,351,0,16.15
140,7,1546239410,717,147469,2.03
12,6,1545842081,18,127266,32.73
51,3,1546670828,44,51020,4.1
153,30,1546645544,83,0,7.18
77,7,1546649671,777,369346,3.75
-1,12,1546588931,795,249903,3.83
10,6,1546564485,567,164564,0.85
13,12,1546661797,149,0,13.18
34,10,1546647580,600,518956,37.84
148,4,1546677067,924,97391,2.03
76,15,1546695198,366,366047,9.3
161,8,1546631888,66,371809,12.88
362,5,1546478667,445,461834,6.07
121,9,1546650940,354,393478,19.4
83,7,1543029854,239,0,19.7
282,6,1546683565,554,538240,7.05
233,11,1546700461,74,346195,7.69
52,13,1546441078,332,362830,25.1
48,4,1546689510,506,1169509,4.89
-1,11,1546366880,161,0,16.7
100,5,1546679565,89,351091,11.04
185,9,1546551625,146,169179,8.84
44,18,1546621247,65,144300,11.12
56,9,1546683419,80,194906,21.15
-1,10,1546625379,465,225647,19.25
49,10,1546666857,725,343800,8.95
143,7,1545161866,1023,0,5.51
97,6,1546313330,98,277614,16.95
30,12,1546653643,590,111272,6.97
49,8,1546419899,116,64757,7.85
252,10,1546662418,10893,6496347,49.75
358,15,1546697304,360,138514,0.4
194,6,1546687814,160,309534,13.92
211,9,1546676365,148,665010,19.39
81,8,1546648461,1460,177227,3.74
88,7,1546642849,86,451459,16.05
121,7,1546684483,500,0,9.16
87,8,1546615069,269,0,9.68
187,19,1546647325,1331,374153,14.5
119,3,1546702760,176,471707,4.28
148,6,1546658802,246,202585,7.16
31,1,1540270218,280,0,1.3
314,5,1546628588,240,189019,8.13
3,7,1546532891,1434,98367,0.01
66,9,1546639152,636,540838,17.01
132,15,1546675298,23,0,33.49
78,6,1546564853,781,133420,4.97
279,7,1546657373,28,123676,10.48
16,8,1546687632,21,221022,25.27
219,13,1546696515,7,44407,10.22
65,13,1546650694,197,323839,8.4
193,11,1546673603,649,0,5.95
232,10,1546697800,219,765974,16.57
3,10,1545951157,213,194928,7.82
21,6,1545727884,206,78439,5.9
217,4,1546672121,1041,432913,8.44
258,25,1544099622,113,240183,4.65
114,25,1546595782,360,227187,9.57
78,9,1546659904,2253,216167,3.82
18,7,1546639015,683,354201,6.51
94,13,1546658042,514,241284,9.84
970,6,1546692409,1661,745921,8.73
163,8,1546651230,47,134493,18.71
26,7,1546577072,1571,321080,10.76
233,13,1546673938,277,172474,18.17
130,21,1546682230,208,327531,19.4
12,4,1546641521,1227,47483,1.49
77,11,1546571059,1404,448260,4.51
144,20,1546655870,62,266947,21.6
188,14,1546569713,31,204204,23.76
17,9,1546661355,207,149868,10.81
7,6,1546280783,21,0,52.09
23,11,1546348222,355,280905,17.21
218,11,1546628710,47,143243,12.32
31,11,1546566647,253,63209,3.25
48,12,1546677024,208,1512918,10.77
77,4,1546613446,308,65003,3.97
53,9,1543873910,491,371495,7.67
177,9,1546655473,1915,564907,6.3
57,10,1546568515,280,142733,8.8
43,9,1544088207,94,24013,7.71
160,7,1546667506,580,639609,18.69
48,4,1544709253,604,46530,21.71
73,5,1545785503,1534,666786,12.04
66,13,1546702966,448,0,15.08
267,5,1546694995,35,205271,12.26
-1,12,1546697913,44,0,19.21
325,11,1546671918,3915,1042649,21.54
237,9,1546699050,136,389157,17.72
23,15,1546686625,233,931427,11.73
531,10,1546696482,9725,1190341,0.99
31,12,1546694894,427,205175,12.47
62,8,1546652736,63,27190,5.47
111,6,1546689400,541,647049,6.01
170,7,1546655081,115,298139,21.3
-1,7,1546686913,242,355766,11.17
110,11,1546679486,320,256115,7.39
9,10,1546702953,350,281294,7.27
233,15,1546647189,25,111279,19.96
-1,5,1546698553,13,0,25.18
-1,8,1546627488,76,0,0.0
211,14,1546575454,654,405234,10.31
116,4,1546604297,326,260072,7.19
55,4,1546468261,505,0,8.58
151,11,1546646799,471,762557,19.39
125,17,1546695431,3478,719339,2.74
93,10,1546667460,605,57241,4.02
84,17,1546539799,2540,533428,1.62
50,18,1546642729,18,84151,59.71
109,8,1546646632,1349,578443,7.44
88,14,1546599944,630,0,6.38
70,8,1546690350,449,314923,3.36
93,4,1546669141,65,57023,17.08
173,11,1546621708,77,284232,8.68
209,10,1546548231,905,289498,5.75
82,5,1546696102,341,145226,9.0
193,7,1546672147,226,0,11.66
51,18,1546702167,62,29025,10.04
296,11,1546631816,80,396747,11.95
48,6,1546577881,621,328880,11.38
185,8,1546224630,54,157320,13.98
70,20,1546630868,16,257011,54.72
127,4,1546698869,331,299038,16.1
102,17,1546627930,268,211528,7.51
-1,15,1546667560,207,481753,26.99
27,4,1546701062,277,0,6.3
25,6,1546607784,181,303976,30.94
155,6,1546698770,687,934922,30.8
579,9,1546678674,147,865659,13.17
183,4,1546664196,3913,0,5.65
210,13,1546631910,829,0,5.26
301,7,1546642228,82,354172,9.71
96,18,1546119779,95,214630,10.58
47,3,1546530415,75,278363,11.05
130,17,1546692188,370,0,4.38
188,8,1546687381,42,65392,6.75
67,7,1546585251,593,0,9.76
228,10,1546573784,260,164984,9.73
141,7,1546641484,100,504556,12.25
0,8,1546663438,8,235061,27.71
75,11,1546674021,95,189775,25.3
117,11,1546676982,178,417885,13.28
73,7,1546687640,342,664690,10.25
124,3,1546641938,87,68742,2.45
107,13,1546555760,261,467194,12.83
204,6,1546668761,1840,452865,7.64
184,11,1546649857,1313,219399,83.81
48,5,1546661514,490,417295,7.99
196,17,1543684506,55,624100,23.58
200,5,1546685349,336,65143,9.39
106,11,1546548302,109,271684,17.34
84,9,1546599684,328,426089,11.92
95,12,1546663421,275,116397,5.82
161,7,1546589951,201,682304,19.32
98,4,1546644926,321,431581,2.98
240,5,1546627662,81,120888,5.03
306,23,1546260458,34,0,11.17
163,8,1546671306,2308,1057905,1.65
563,6,1546679018,729,0,10.98
176,5,1546634197,190,257107,9.32
182,6,1546700455,260,166330,6.65
293,10,1546688113,520,482758,10.32
58,6,1546648892,623,380461,22.65
107,12,1546699087,215,175815,8.37
12,7,1546651818,542,195399,25.24
300,5,1546576249,46,462305,7.92
74,6,1546648220,856,299410,12.75
66,4,1546699606,40,0,7.12
96,9,1546203968,270,0,6.28
91,6,1546684013,92,148682,8.97
93,14,1546387677,46,0,15.46
100,9,1545401183,258,294963,16.13
-1,6,1546642274,47,0,17.72
261,6,1546674654,192,425553,16.07
344,7,1546655890,22,312459,24.42
41,12,1546632121,70,147980,17.22
152,7,1546667898,72,0,12.94
58,6,1546680916,353,210359,13.17
54,10,1546665169,169,111691,7.44
200,6,1546698273,137,550644,21.41
46,5,1546573882,41,440592,9.16
388,8,1546656699,97,183300,11.29
35,15,1546597456,81,92910,9.12
119,8,1546618749,121,205127,15.69
7,9,1541101674,33,352051,13.95
97,9,1546637145,1272,333589,4.97
72,10,1546698436,110,266547,13.41
56,7,1546118584,611,120244,10.06
248,8,1546661071,1748,0,30.99
127,22,1546667678,92,442504,14.94
83,13,1546586315,755,596980,15.77
299,7,1546691589,39,245639,8.21
43,11,1542585051,216,162183,9.17
70,6,1532181521,67,0,5.56
79,9,1546686153,443,266589,6.45
-1,3,1546664179,284,338273,17.73
-1,8,1546678947,464,303106,7.87
67,8,1546647568,67,141159,16.28
75,13,1546669178,188,142886,13.11
61,7,1546645929,30,316962,12.11
128,5,1527080314,53,14179,14.57
152,11,1546660110,82,238922,13.87
31,10,1546639276,356,169826,10.76
145,6,1546689521,372,348782,11.75
186,10,1546526097,149,321231,11.95
175,13,1545073949,142,172286,11.97
-1,14,1546646040,54,692786,23.22
92,7,1546592955,701,279944,20.91
85,6,1545550624,1007,160859,5.3
37,5,1546581650,414,512500,13.14
211,6,1546679435,1067,1225578,23.07
57,4,1546701986,77,177998,9.56
142,8,1546619499,1562,431845,7.98
780,14,1546701553,2478,732465,22.48
338,13,1546607733,73,221853,7.78
89,14,1545514841,181,158578,15.57
17,3,1546408968,331,517904,21.6
477,7,1546691402,410,218726,16.45
55,11,1546666364,168,359180,20.47
448,8,1546702449,1476,0,7.47
25,8,1546694177,386,74972,5.54
274,12,1546568796,237,574808,6.19
125,7,1546650034,145,637401,13.86
56,7,1546634584,40,201371,26.56
82,5,1546665156,368,185588,7.46
60,5,1546649088,385,331090,9.45
291,8,1546673482,222,347106,17.08
186,10,1546294577,288,0,17.51
59,12,1546667037,207,579888,10.78
184,21,1544656460,147,384986,14.78
119,9,1546702153,1631,785381,8.87
117,12,1546697672,142,238053,11.25
202,9,1546613848,176,125366,11.49
256,12,1546681888,45,291467,15.38
231,21,1546527719,18,381082,37.63
16,7,1546681664,144,466247,32.62
90,11,1546695062,253,291314,9.67
125,8,1546697395,401,351426,20.63
72,11,1546612697,543,395177,14.21
49,8,1546552962,13,300078,54.17
106,11,1546102435,259,0,7.57
102,5,1546649880,169,265250,7.95
103,13,1546691978,65,281846,19.21
285,5,1546646421,104,79639,12.04
303,13,1546665678,2679,912991,6.5
-1,30,1546663488,127,0,0.0
96,18,1546461703,12,332981,62.78
260,14,1546581963,273,650120,11.33
311,19,1546691406,103,545263,17.16
15,10,1546452454,144,101582,4.71
-1,4,1546651501,725,0,0.0
489,23,1546685141,55,747968,12.53
-1,3,1546644900,285,366105,9.6
86,12,1546703141,87,0,5.37
105,12,1546627009,46,446264,9.01
31,9,1545721369,7,34136,38.1
211,9,1546631594,240,541454,14.95
144,7,1546649190,65,219840,23.06
15,11,1546664472,341,154714,12.69
95,11,1546656829,213,281670,4.69
79,11,1546638533,352,442771,16.15
64,6,1546645731,81,272417,8.13
70,9,1546636718,89,256567,7.64
68,6,1546695897,34,322015,7.77
330,9,1546535255,90,69125,7.46
45,18,1546687626,221,180525,6.04
225,10,1541372568,8,364023,48.7
119,7,1546702716,291,194551,13.57
252,12,1546680730,714,581889,11.89
188,12,1546650214,1309,635577,16.42
120,12,1546669738,279,370423,18.36
58,13,1546699552,72,51353,7.73
56,8,1546693926,166,106351,10.2
479,8,1546643568,1848,699727,6.08
-1,7,1546689886,183,307963,10.84
102,4,1546693804,422,223313,6.3
94,11,1546690406,915,219418,8.85
69,10,1546616716,662,169042,12.69
75,8,1545255003,272,276863,9.39
217,5,1546005078,120,160964,18.97
166,7,1546685015,455,619693,17.31
193,3,1546614537,1054,230931,3.83
120,5,1546657581,85,334372,17.2
89,8,1546592663,182,256771,5.59
165,4,1543687914,160,293099,9.6
48,6,1546700580,596,302974,8.27
60,10,1540903870,124,59899,8.36
259,6,1546696005,20,300890,31.14
-1,5,1546474167,143,76934,8.27
97,4,1546159711,87,180376,21.4
80,6,1546678238,395,428088,9.06
26,13,1546696643,192,261685,20.59
49,9,1546691774,164,170331,13.35
264,3,1546016202,169,0,9.67
83,6,1546680712,303,0,11.82
123,8,1546665971,115,118358,16.25
122,10,1546693813,382,204697,10.96
87,11,1546636248,285,261666,9.23
72,11,1546640390,38,0,18.6
176,7,1546610972,2814,667893,14.9
53,12,1546680519,641,233403,7.7
44,6,1546567382,30,298892,20.85
93,6,1546699815,54,0,12.04
99,6,1546662215,540,472770,8.46
85,11,1544414536,262,80858,8.58
239,9,1546698145,366,396839,13.87
56,3,1546703509,2142,412450,3.57
57,14,1546474690,327,293448,9.06
-1,7,1546694686,191,191500,21.38
85,9,1546698614,553,867160,0.0
192,5,1546644238,27,235606,24.39
216,9,1546628709,233,0,12.56
81,6,1546566502,1785,0,1.69
194,8,1546654757,80,533097,10.56
123,22,1546652881,534,0,11.72
47,13,1546568835,341,878193,29.01
100,6,1546677623,51,0,28.73
463,7,1542539514,319,103189,11.34
95,6,1546675352,352,292474,17.28
100,9,1546681665,606,389290,17.72
277,14,1546662987,96,408395,20.23
317,17,1546659213,200,946850,20.25
285,2,1546648020,186,279252,7.74
104,10,1546634456,1174,302888,6.03
295,11,1546579394,25,211325,8.6
-1,7,1544457744,36,64031,12.8
19,16,1542559280,9,24769,2.6
24,10,1546664878,119,198714,12.24
102,24,1546677560,314,971503,18.22
22,6,1546264898,303,202173,17.52
115,8,1545903404,82,0,8.77
-1,6,1546613762,285,0,27.35
153,12,1546691619,56,249590,19.21
166,13,1546692846,173,339208,12.68
92,7,1546667522,2519,478439,6.28
56,7,1546689447,423,0,13.12
51,12,1546685665,910,330892,13.15
146,7,1546664271,656,358204,7.12
70,4,1546626683,294,206707,9.03
220,4,1546629024,188,444093,13.04
111,10,1546656970,9,0,51.96
32,8,1546644293,17,201675,54.59
96,10,1546549397,201,650590,18.48
38,14,1546291645,2929,495707,5.76
173,19,1546639552,62,191034,15.37
266,15,1546669545,368,739226,3.18
19,5,1546657977,481,446791,6.84
305,15,1546652622,317,154738,6.58
39,8,1546563888,850,309801,5.6
183,17,1546596481,210,843530,14.2
51,7,1546645327,273,547507,21.99
91,6,1544646069,1056,235003,2.25
163,6,1546680965,31,0,13.33
31,14,1546345603,4,394364,67.16
-1,5,1546568175,174,735754,13.36
49,23,1546700339,162,183153,10.6
21,5,1546696231,439,446304,65.89
103,20,1546673668,462,427987,9.95
64,5,1546571740,294,216149,41.42
86,6,1546687906,273,453813,22.49
139,4,1546698826,425,434931,13.61
124,9,1544487075,17,98092,43.13
88,4,1546649931,262,237284,55.01
142,8,1546693834,270,663963,7.3
56,9,1546449481,121,74131,9.43
271,9,1546672768,34,0,21.21
39,26,1546678097,199,259220,16.69
279,4,1546702893,72,340039,7.61
108,11,1546646966,64,0,13.64
400,10,1546615617,1194,194914,3.27
54,4,1546679752,1031,642167,12.55
164,9,1546682738,227,127808,3.09
108,18,1546657362,579,0,8.6
26,4,1546700342,1986,0,2.63
115,9,1542279219,172,183200,8.95
270,5,1546351517,8,520334,28.2
59,15,1546700399,675,551624,21.69
79,6,1546681390,816,592250,9.82
94,6,1546687330,37,302987,18.17
53,11,1546652681,54,208254,8.26
218,7,1546703179,62,358481,15.81
49,14,1546657922,519,235333,11.02
184,22,1546648130,866,261982,7.74
125,9,1546692715,37,667901,9.09
102,7,1546650057,422,285711,8.85
66,11,1546684538,160,401508,17.13
35,11,1546654463,876,248326,5.56
61,3,1546679785,34,73079,15.22
245,4,1546637808,570,230011,12.01
38,4,1546629109,329,497353,13.18
20,6,1546550754,818,409424,16.11
-1,7,1546620909,22,198595,31.79
132,10,1546669636,1495,150691,4.21
178,8,1546689744,94,215928,18.43
13,12,1546132088,424,71310,5.54
375,9,1546700979,5961,2130139,3.31
111,8,1546557491,94,264471,16.18
95,11,1546661577,225,356966,12.79
106,15,1546666930,203,792642,10.45
114,13,1546548248,738,478510,44.38
68,12,1546378116,77,406422,17.47
-1,6,1546664710,319,1283956,15.16
31,9,1546567153,422,289574,11.86
57,9,1546700525,230,236679,12.46
99,11,1546660363,637,339964,14.07
11,6,1546598144,52,28567,10.07
211,8,1546604942,174,250219,12.61
110,20,1546678971,2645,580154,2.95
441,10,1546684798,634,645954,38.72
222,3,1546493883,1904,253067,4.49
57,5,1546702912,1633,473804,8.92
155,8,1546644087,76,87224,16.16
104,6,1546600063,9893,0,79.2
51,10,1546661542,217,242058,19.52
117,6,1546651536,127,575464,7.93
97,12,1544134520,139,310513,13.98
119,5,1545532166,102,0,9.6
185,8,1546702660,1654,223919,1.98
52,11,1546619925,421,88163,4.3
34,5,1546582019,528,635991,27.9
70,12,1546688066,25,66134,31.7
40,8,1546647726,243,414832,22.33
65,9,1546659824,161,139569,9.8
85,9,1546676426,74,419296,24.49
93,10,1546687161,896,204230,7.11
